Supplementary Table 7. Mutational signature activity across all tumors ,,,,,,,,,,
pair_id,S1,S5,S6,S7,S11,S17,S2,S4,S13,S10
CR0095_T_N,2.20E-36,89.29439469,1.20E-53,246.8157909,46.42967159,6.410949035,NA,NA,NA,NA
CR04885_T_N,2.20E-59,0.001658624,3.76E-86,2097.825445,645.796334,26.46064648,NA,NA,NA,NA
CR06670_T_N,3.01E-49,43.77317664,1.20E-66,554.5667445,171.8966884,8.344766788,NA,NA,NA,NA
CR1509_T_N,3.46E-31,15.46658635,3.43E-50,573.5605333,242.2881484,1.897124972,NA,NA,NA,NA
CR22640_T_N,5.20E-23,16.39279137,1.22E-37,434.9201505,40.35861517,1.774132128,NA,NA,NA,NA
CR3665_T_N,1.76E-16,60.12546155,3.70E-36,109.1242543,53.6138265,0.336739865,NA,NA,NA,NA
CR6126_T_N,1.70E-47,23.1348263,2.47E-56,563.8600544,180.0801327,0.00025115,NA,NA,NA,NA
CR6161_T_N,2.31E-87,1.27E-14,1.11E-114,962.0142923,310.9841825,6.74E-17,NA,NA,NA,NA
CR9306_T_N,1.29E-34,1.037136522,1.68E-49,1525.414701,559.3253753,6.12060255,NA,NA,NA,NA
CR9699_T_N,1.62E-46,6.44E-07,2.08E-60,1644.291467,300.8300508,4.81E-05,NA,NA,NA,NA
DFCI_MM_1-TP-NB-SM-BZRJ8-SM-BZRJC,1.03E-25,63.35020731,4.284043635,8.210085718,1.791822633,7.68E-75,NA,NA,NA,NA
DFCI_MM_2-TP-NB-SM-BZRJA-SM-BZRJD,7.01E-48,2.306177273,2.26E-57,1233.671258,379.3367147,7.166855658,NA,NA,NA,NA
LSD0167_T_N,8.53E-50,46.03698132,1.15E-64,390.5379173,123.3467642,0.372811689,NA,NA,NA,NA
LSD2057_T_N,9.98E-38,15.86256268,8.04E-53,161.8452303,63.47605262,1.08E-15,NA,NA,NA,NA
LSD3484_T_N,4.22E-29,52.0382561,2.66E-44,491.9508604,200.5419564,4.768938078,NA,NA,NA,NA
LSD4744_T_N,3.71E-15,159.9713788,1.37E-30,1218.96296,196.4390299,2.927143468,NA,NA,NA,NA
LSD6819_T_N,9.02E-21,8.571556244,2.71E-36,221.9791379,65.11131941,1.901911586,NA,NA,NA,NA
MEL-582186-TP-NB-SM-CN21Q-SM-CJP7T,1.91E-62,16.11221656,9.34E-71,61.97421957,15.7495445,9.88E-17,NA,NA,NA,NA
MEL-587761-TP-NB-SM-CN1ZV-SM-CJP7Q,1.00E-35,36.95194151,1.11E-34,175.7150736,48.68292962,4.742058954,NA,NA,NA,NA
MEL-650366-TP-NB-SM-CN221-SM-CJP7U,1.919354041,72.99062763,2.30E-12,207.2336,43.70493913,0.006261233,NA,NA,NA,NA
MEL-682321-TP-NB-SM-CN21G-SM-CJP7S,1.87E-36,29.30207081,1.41E-45,1023.006573,374.9708908,15.39734158,NA,NA,NA,NA
MEL-IPI_Pat02-TP-NB-SM-4DJZX-SM-4NFU4,7.14E-14,61.21110897,2.59E-11,203.021195,18.09576754,5.389202344,NA,NA,NA,NA
MEL-IPI_Pat03-TP-NB-SM-4DJZY-SM-4NFU5,1.75E-115,1.09E-29,1.72E-179,33.22911921,635.610127,1.25E-12,NA,NA,NA,NA
MEL-IPI_Pat04-TP-NB-SM-4DJZZ-SM-4NFU6,8.03E-72,259.7441698,3.91E-85,146.805871,105.006511,9.831807319,NA,NA,NA,NA
MEL-IPI_Pat06-TP-NB-SM-4DK12-SM-4NFU8,5.52E-30,16.21775626,1.24E-41,133.4167834,64.52992599,4.64E-16,NA,NA,NA,NA
MEL-IPI_Pat07-TP-NB-SM-4DK13-SM-4NFU9,6.76E-27,77.97709434,1.82E-07,79.52144854,58.53543143,7.625966154,NA,NA,NA,NA
MEL-IPI_Pat08-TP-NB-SM-4DK14-SM-4NFUA,2.87E-44,1.310290003,1.32E-55,326.9226844,62.76651779,2.201552407,NA,NA,NA,NA
